Valor_Real,Prediccion
24.682658423387096,25.134898384759587
26.543556914836856,25.87051797806958
25.322470596774192,25.021945904555757
25.97810990635636,26.049463330536756
26.393652955525887,26.391235420453654
24.5676372375,25.003011786787134
25.959715629032257,25.862538219622333
24.740156124381507,24.631586497914512
26.28420452096774,26.424929960182318
25.89956781451613,26.567165570988784
24.229542702419355,24.689530359688234
26.502150979166668,26.783266662940292
26.90108264516129,26.812906131072683
25.465797266129037,25.676488041233938
24.35097073958333,24.725641583906484
24.86031688350416,25.470468366675924
26.304950790322582,25.21145584911741
25.981880154237373,26.217324760321834
24.482691187903225,24.764818407090534
26.602365074596776,26.436275153304262
25.815595026785715,26.012955708121694
24.717155925,25.65466957476917
26.341804938880998,26.29813584813532
25.117022491935483,25.76173090880921
26.99322829208884,26.50024722506465
24.30985971278519,25.09759423745419
